Id,Pixels Agregados,Pixels Ligante,Pixels Brilho,Cobrimento,Estatistica,Legenda
1,5531,15,0,0.2711986982462484,0.12909251421164708,Media
2,9750,110,0,1.1282051282051282,0.3855558890625697,Desv. Pad.
3,9380,13,0,0.13859275053304904,15.0,Limiar Ligante
4,10884,0,0,0.0,232.0,Limiar Brilho do ligante
5,12669,1,0,0.007893282816323309,,
6,9722,15,0,0.1542892408969348,,
7,11388,0,0,0.0,,
8,8122,0,0,0.0,,
9,10263,11,0,0.10718113612004287,,
10,9070,0,0,0.0,,
11,10541,0,0,0.0,,
12,8421,0,0,0.0,,
13,12247,19,0,0.15514003429411286,,
14,10311,34,0,0.3297449325962564,,
15,7201,0,0,0.0,,
16,8901,0,0,0.0,,
17,9776,0,0,0.0,,
18,14342,31,1,0.22312090363965975,,
19,5722,0,0,0.0,,
20,13382,3,3,0.044836347332237333,,
21,18175,5,0,0.027510316368638238,,
22,10295,0,11,0.10684798445847499,,
23,10007,31,0,0.3097831517937444,,
24,7842,11,0,0.14027033919918389,,
25,9217,0,0,0.0,,
26,9558,2,0,0.02092487968194183,,
27,9897,0,0,0.0,,
28,13984,0,0,0.0,,
29,10964,0,0,0.0,,
30,21396,18,0,0.08412787436904094,,
31,9103,0,0,0.0,,
32,7069,0,0,0.0,,
33,12348,0,7,0.05668934240362812,,
34,15525,5,0,0.0322061191626409,,
35,11365,145,0,1.2758468983721953,,
36,8147,5,1,0.07364674113170493,,
37,12348,0,2,0.016196954972465177,,
38,10762,0,0,0.0,,
39,11374,5,2,0.061543871988746265,,
40,10402,0,0,0.0,,
41,11279,0,0,0.0,,
42,7138,0,0,0.0,,
43,8899,0,0,0.0,,
44,6525,0,0,0.0,,
45,11991,1,0,0.008339588024351597,,
46,13120,0,0,0.0,,
47,15420,0,0,0.0,,
48,23297,587,0,2.519637721595055,,
49,10482,0,0,0.0,,
50,10538,0,0,0.0,,
51,11147,0,0,0.0,,
52,17835,0,0,0.0,,
53,17043,143,0,0.8390541571319603,,
54,13918,0,0,0.0,,
55,11597,0,0,0.0,,
56,17452,0,0,0.0,,
57,11743,0,0,0.0,,
58,11241,0,0,0.0,,
59,12806,0,0,0.0,,
60,15359,0,0,0.0,,
61,13953,0,0,0.0,,
62,15954,0,0,0.0,,
63,18418,0,0,0.0,,
