Id,Pixels Agregados,Pixels Ligante,Pixels Brilho,Cobrimento,Estatistica,Legenda
1,5551,4330,0,78.0039632498649,65.52106968356773,Media
2,5371,3147,0,58.59244088624092,9.306484599264548,Desv. Pad.
3,10483,6274,8,59.925593818563385,45.0,Limiar Ligante
4,13792,9592,94,70.22911832946636,136.0,Limiar Brilho do ligante
5,13846,10151,60,73.74693052145024,,
6,20979,16923,108,81.18118118118119,,
7,6421,5111,17,79.86294969630899,,
8,7137,5088,2,71.31848115454673,,
9,6987,4775,35,68.84213539430371,,
10,6006,4170,26,69.86346986346986,,
11,3867,2893,6,74.96767520041375,,
12,6323,4790,0,75.75517950340029,,
13,6681,4751,25,71.4863044454423,,
14,7271,5240,21,72.35593453445193,,
15,5118,4096,0,80.03126221180149,,
16,7462,5605,7,75.20771911015814,,
17,3695,2348,15,63.95128552097429,,
18,15145,10884,54,72.22185539782106,,
19,12116,9292,100,77.51733245295478,,
20,7045,4822,46,69.0986515259049,,
21,7542,5200,5,69.01352426412092,,
22,4923,3945,39,80.9262644728824,,
23,3666,2399,44,66.63938897981451,,
24,8033,6037,30,75.52595543383543,,
25,6322,3982,20,63.30275229357798,,
26,7564,5476,13,72.56742464304601,,
27,9439,5956,40,63.52367835575802,,
28,5782,3580,14,62.158422691110346,,
29,6316,3048,313,53.21405953134896,,
30,6846,3977,53,58.86649138182881,,
31,6434,3475,44,54.6938141125272,,
32,2121,1398,6,66.19519094766619,,
33,2587,1579,14,61.5771163509857,,
34,4596,2839,9,61.96692776327241,,
35,6451,4945,20,76.96481165710742,,
36,5728,2233,35,39.59497206703911,,
37,8524,5792,48,68.5124354763022,,
38,4475,2611,19,58.770949720670394,,
39,5722,3787,42,66.91716183152744,,
40,5424,4027,79,75.70058997050147,,
41,6250,3857,19,62.016,,
42,5926,1996,23,34.07019912251097,,
43,5773,4133,16,71.86904555690282,,
44,4478,2607,22,58.70924519874944,,
45,5114,2555,8,50.11732499022292,,
46,5847,3572,45,61.86078330767915,,
47,5964,3506,7,58.903420523138834,,
48,4426,2688,7,60.89019430637144,,
49,10361,6903,130,67.87954830614805,,
50,5057,3305,84,67.01601740162151,,
51,6910,3594,190,54.76121562952243,,
52,5366,3420,33,64.3496086470369,,
53,2983,1428,14,48.340596714716725,,
54,5504,4008,82,74.30959302325581,,
55,7799,4744,92,62.007949737145786,,
56,6265,4222,114,69.2098962490024,,
57,6707,4183,32,62.84478902639034,,
58,5703,3300,27,58.33771699105734,,
59,10225,5940,128,59.344743276283616,,
60,4636,2684,101,60.07333908541847,,
61,8157,6153,29,75.78766703444894,,
62,5012,2938,54,59.69672785315243,,
63,4629,3129,15,67.91963707064161,,
64,10983,5861,191,55.103341527815715,,
65,8129,5531,20,68.28638208881782,,
66,4902,3416,45,70.60383516931864,,
67,6936,4524,180,67.82006920415225,,
68,3711,2558,16,69.36135812449474,,
69,6701,3142,52,47.664527682435455,,
70,16305,8643,10,53.06961054891138,,
71,4652,2716,7,58.53396388650043,,
72,4606,3050,17,66.58706035605732,,
73,4052,3025,10,74.90128331688055,,
