Id,Pixels Agregados,Pixels Ligante,Pixels Brilho,Cobrimento,Estatistica,Legenda
1,12888,12350,112,96.69459962756052,98.94996509441113,Media
2,8015,7646,190,97.7666874610106,0.8696679937647463,Desv. Pad.
3,9676,9607,27,99.56593633732948,135.0,Limiar Ligante
4,12286,11761,290,98.0872537847957,170.0,Limiar Brilho do ligante
5,10989,10871,48,99.36299936299936,,
6,9346,8909,119,96.59747485555317,,
7,8901,8691,77,98.50578586675654,,
8,10435,10429,0,99.94250119789172,,
9,12295,12010,86,98.38145587637251,,
10,15702,15505,88,99.30582091453319,,
11,6134,6087,16,99.4946201499837,,
12,8716,8186,191,96.1106011932079,,
13,10727,10666,19,99.60846462198191,,
14,6523,6426,17,98.77357044304767,,
15,11086,11025,14,99.57604185459138,,
16,12060,11937,43,99.33665008291874,,
17,10038,9085,645,96.93165969316597,,
18,9053,8853,131,99.23782171655805,,
19,15452,14650,397,97.3789800673052,,
20,6567,6318,103,97.7767626008832,,
21,12148,11823,137,98.45242015146526,,
22,15387,15288,43,99.63605641125625,,
23,14945,14758,67,99.19705587152895,,
24,9136,8920,103,98.76313485113836,,
25,20180,19991,55,99.33597621407334,,
26,12662,12476,81,99.17074711735903,,
27,11114,10769,191,98.61436026633075,,
28,10052,10028,6,99.8209311579785,,
29,12793,12506,112,98.63206441022434,,
30,13691,13059,293,97.5239208238989,,
31,10529,10346,63,98.8602906258904,,
32,8175,7945,135,98.83792048929664,,
33,10125,9998,33,99.0716049382716,,
34,7595,7589,0,99.92100065832784,,
35,10322,10107,130,99.17651617903508,,
36,6435,5886,326,96.53457653457653,,
37,10660,10303,163,98.18011257035647,,
38,11210,11000,91,98.93844781445138,,
39,5898,5834,41,99.61003730077992,,
40,12113,12011,10,99.24048542887806,,
41,15093,14393,404,98.03882594580269,,
42,8788,8785,0,99.96586253982704,,
43,7557,7467,24,99.12663755458516,,
44,12135,11758,145,98.0881747012773,,
45,18493,18076,280,99.25917914886713,,
46,7163,7143,8,99.83247242775373,,
47,11211,10917,166,98.85826420479886,,
48,9715,9570,44,98.96037056098817,,
49,9744,9686,26,99.67159277504105,,
50,8127,8127,0,100.0,,
51,7643,7607,1,99.5420646343059,,
52,7402,7250,40,98.48689543366658,,
53,10351,10231,50,99.32373683702058,,
54,13856,13691,63,99.26385681293303,,
55,6850,6647,48,97.73722627737226,,
56,7554,7483,13,99.2321948636484,,
57,9689,9565,52,99.25688925585716,,
58,15159,15043,32,99.44587373837324,,
59,12881,12712,87,99.36340346246409,,
60,10538,10305,106,98.79483773011957,,
61,11531,11497,7,99.76584858208308,,
62,27313,27159,60,99.6558415406583,,
63,19658,19571,30,99.71004171329739,,
64,9119,9017,60,99.53942318236649,,
65,12377,12262,17,99.2082087743395,,
66,7166,7156,0,99.86045213508233,,
67,7805,7783,4,99.76937860345932,,
68,9754,9694,10,99.48738978880459,,
69,13165,12854,162,98.86821116597038,,
70,16709,16683,0,99.84439523610031,,
71,17955,17149,429,97.90030632135895,,
72,9447,9250,107,99.04731660844713,,
73,20278,20211,5,99.6942499260282,,
74,16477,16059,187,98.59804576075742,,
75,6712,6675,9,99.58283671036949,,
76,13350,12688,346,97.63295880149813,,
77,8261,8121,64,99.08001452608643,,
78,10541,10405,53,99.21259842519684,,
79,12764,12478,132,98.79348166718897,,
80,15966,15785,62,99.2546661656019,,
81,15932,15784,46,99.35977906100929,,
82,4654,4630,1,99.50580146110872,,
83,11919,11873,11,99.70635120396007,,
84,8545,8540,0,99.94148624926858,,
85,10198,10022,59,98.85271621886645,,
86,11343,10841,185,97.20532486996386,,
87,14736,14666,15,99.62676438653638,,
88,13006,12882,36,99.32338920498232,,
89,15960,15956,0,99.97493734335839,,
90,14143,13982,61,99.2929364349855,,
