Id,Pixels Agregados,Pixels Ligante,Pixels Brilho,Cobrimento,Estatistica,Legenda
1,14602,12930,785,93.92548965895082,96.45393369472262,Media
2,13251,11253,901,91.7213795185269,1.6337827756946766,Desv. Pad.
3,21348,20788,193,98.28086940228593,64.0,Limiar Ligante
4,18436,15118,2325,94.61379908873943,98.0,Limiar Brilho do ligante
5,15324,14670,209,97.09605847037326,,
6,16416,15055,934,97.39887914230019,,
7,26349,24763,432,95.62032714714032,,
8,18688,17403,564,96.14190924657534,,
9,20222,18846,706,96.6867767777668,,
10,18904,17616,779,97.30744815911976,,
11,14662,11712,2098,94.18906015550402,,
12,10927,9283,926,93.42912052713461,,
13,18887,16856,1178,95.48366601366018,,
14,14866,14044,478,97.68599488766313,,
15,19841,18840,524,97.59588730406733,,
16,26153,24750,750,97.50315451382251,,
17,12417,10717,889,93.46863171458484,,
18,15265,12351,2003,94.03209957418932,,
19,17591,16458,682,97.43618896026378,,
20,14366,13136,650,95.96268968397605,,
21,16948,15070,1111,95.47439225867359,,
22,21112,18459,1808,95.99753694581281,,
23,13686,12630,491,95.87169370159287,,
24,16826,16115,284,97.46226078687745,,
25,12854,12386,167,97.65831647736113,,
26,13898,12885,610,97.10030220175565,,
27,18027,16556,873,96.68275364730681,,
28,14344,13713,364,98.13859453430005,,
29,16075,14098,1279,95.65785381026438,,
30,12493,11707,413,97.01432802369327,,
31,20000,19241,398,98.195,,
32,14104,13566,147,97.22773681225185,,
33,17400,15796,548,93.93103448275862,,
34,16672,15656,399,96.29918426103647,,
35,21686,20618,578,97.74047772756617,,
36,16573,14487,1017,93.54974959271104,,
37,17852,16496,705,96.35334976473224,,
38,13820,12575,774,96.59189580318379,,
39,20426,19276,418,96.41633212572212,,
40,19657,19068,181,97.92440352037443,,
41,8984,7827,367,91.206589492431,,
42,10888,9309,608,91.08192505510654,,
43,19680,17669,1124,95.4928861788618,,
44,14139,12636,732,94.54699766603012,,
45,14818,14392,161,98.21163449858281,,
46,14604,13181,865,96.17912900575185,,
47,21504,20475,545,97.74925595238095,,
48,25027,22615,1468,96.22807368042514,,
49,11142,10620,172,96.85873272302997,,
50,9304,8911,130,97.17325881341358,,
51,11617,10780,195,94.47361625204442,,
52,20654,19379,506,96.27675026629224,,
53,22166,21553,256,98.38942524587206,,
54,17091,16591,205,98.27394535135451,,
55,15509,15166,98,98.42027210007093,,
56,25305,23565,826,96.38806559968386,,
57,10265,9771,293,98.04188991719435,,
58,12885,12222,252,96.81024447031432,,
59,13253,12802,165,97.84199803818004,,
60,23292,21916,599,96.66409067490984,,
61,14883,14118,457,97.93052475979306,,
62,18042,16105,1182,95.81531980933377,,
63,16020,14665,821,96.66666666666667,,
64,17299,16479,362,97.35244811838835,,
65,17114,15980,550,96.58758910833237,,
66,14206,13411,315,96.62114599465015,,
67,19479,18831,184,97.61794753324092,,
68,18037,17639,62,98.13716249930698,,
69,13856,13075,459,97.67609699769054,,
70,20198,18444,991,96.22239825725319,,
71,15534,15181,100,98.37131453585683,,
72,26940,24740,1289,96.61841128433556,,
73,19741,18135,678,95.29912365128413,,
74,20978,20447,112,98.00266946324722,,
75,13752,12759,518,96.54595695171611,,
76,19058,18201,357,97.37642984573408,,
77,18489,17831,316,98.15025150089242,,
78,21388,20412,307,96.87207780063586,,
79,22995,22081,418,97.84300934985866,,
80,19515,18673,341,97.43274404304381,,
