Id,Pixels Agregados,Pixels Ligante,Pixels Brilho,Cobrimento,Estatistica,Legenda
1,12065,10959,236,92.78905926232905,85.6721281799179,Media
2,13499,12363,195,93.02911326764945,15.525388229580582,Desv. Pad.
3,14789,13476,0,91.12177970112921,41.0,Limiar Ligante
4,22647,18149,523,82.44800635845807,167.0,Limiar Brilho do ligante
5,5,4,0,80.0,,
6,24549,20013,967,85.46172960202045,,
7,19303,15746,588,84.6189711443817,,
8,25862,20587,39,79.75407934421159,,
9,23286,19747,687,87.75229751782187,,
10,15499,14250,154,92.93502806632686,,
11,14030,9235,1131,73.88453314326443,,
12,14054,9881,125,71.19681229543191,,
13,13959,11489,0,82.30532273085464,,
14,16265,12726,269,79.89548109437442,,
15,17853,16819,128,94.92522265165519,,
16,24776,23483,18,94.85389086212464,,
17,18355,17038,53,93.11359302642332,,
18,4,0,0,0.0,,
19,5,0,0,0.0,,
20,13587,12674,107,94.06785898285125,,
21,11349,8831,202,79.5929156753899,,
22,13788,9434,204,69.90136350449666,,
23,13708,12054,87,88.5687189962066,,
24,19880,16684,712,87.50503018108652,,
25,17055,14102,440,85.26531808853709,,
26,15583,13922,152,90.316370403645,,
27,17133,13563,123,79.88093153563298,,
28,8,8,0,100.0,,
29,3,3,0,100.0,,
30,10485,7307,265,72.21745350500716,,
31,13754,12127,109,88.96321070234114,,
32,22495,14383,179,64.734385418982,,
33,24424,20457,341,85.15394693743859,,
34,17905,16365,117,92.05249930187098,,
35,15312,14108,32,92.34587251828631,,
36,28228,26618,85,94.59756270369846,,
37,6,6,0,100.0,,
38,24925,22889,112,92.28084252758275,,
39,10,10,0,100.0,,
40,127,89,0,70.07874015748031,,
41,10098,7084,187,72.00435729847494,,
42,12886,11160,56,87.04019866521807,,
43,14887,11563,553,81.38644454893532,,
44,14837,12106,146,82.57734043270203,,
45,21049,18363,123,87.82364957955247,,
46,22856,17880,72,78.54392719635982,,
47,24147,18103,41,75.13976891539322,,
48,23502,20504,63,87.51170113181857,,
49,14,14,0,100.0,,
50,12222,9770,249,81.97512682048765,,
51,13559,11955,41,88.47260122427907,,
52,17981,16076,548,92.45314498637451,,
53,12746,9936,90,78.65997175584496,,
54,3,3,0,100.0,,
55,11933,9215,203,78.92399229028744,,
56,14983,12436,95,83.63478609090302,,
57,24076,22808,45,94.92025253364346,,
58,21133,18097,813,89.48090663890598,,
59,10,10,0,100.0,,
60,5,5,0,100.0,,
61,4,4,0,100.0,,
62,13969,11584,19,83.06249552580715,,
63,12819,10738,130,84.78040408768234,,
64,13848,11873,25,85.91854419410745,,
65,17647,15963,99,91.01830339434464,,
66,12505,10778,160,87.46901239504199,,
67,18524,15533,98,84.38242280285036,,
68,18465,16284,44,88.42675331708638,,
69,19272,18188,37,94.56724782067248,,
70,12,12,0,100.0,,
71,12473,10977,102,88.82385953659906,,
72,13631,11560,80,85.39358814467023,,
73,17482,14422,452,85.08179842123327,,
74,17635,13290,61,75.70740005670541,,
75,13677,11718,226,87.32909263727426,,
76,17654,15954,192,91.4580265095729,,
77,15366,14122,138,92.80229077183392,,
78,13729,11798,44,86.25537184062932,,
79,3,3,0,100.0,,
80,3,3,0,100.0,,
81,10,10,0,100.0,,
82,10,10,0,100.0,,
83,9,9,0,100.0,,
84,11987,8707,153,73.91340619003921,,
85,15646,11932,334,78.3970343857855,,
86,18096,11894,379,67.82161803713528,,
87,9,9,0,100.0,,
88,15580,13916,65,89.73684210526316,,
89,16001,11162,551,73.20167489531904,,
90,15577,14822,0,95.1531103550106,,
91,13374,12264,0,91.70031404217137,,
92,17200,15638,62,91.27906976744185,,
