Id,Pixels Agregados,Pixels Ligante,Pixels Brilho,Cobrimento,Estatistica,Legenda
1,40142,24622,146,61.70096158636839,62.90368894346483,Media
2,40745,20256,40,49.8122469014603,26.428909818110835,Desv. Pad.
3,39441,17526,143,44.79855987424254,22.0,Limiar Ligante
4,36293,21887,65,60.48549307028904,142.0,Limiar Brilho do ligante
5,28560,14967,34,52.52450980392157,,
6,40754,22338,287,55.51602296707072,,
7,16,0,0,0.0,,
8,48567,16945,241,35.38616756233657,,
9,36778,15764,280,43.62390559573658,,
10,8,8,0,100.0,,
11,33351,10615,85,32.08299601211358,,
12,44,34,0,77.27272727272727,,
13,33058,11636,125,35.57686490410793,,
14,6,6,0,100.0,,
15,27588,8367,212,31.096853704509208,,
16,38057,18638,968,51.51746065112857,,
17,19,19,0,100.0,,
18,186,122,0,65.59139784946237,,
19,20,20,0,100.0,,
20,50,43,0,86.0,,
21,45,33,0,73.33333333333333,,
22,39,29,0,74.35897435897436,,
23,11,11,0,100.0,,
24,10,10,0,100.0,,
25,17,17,0,100.0,,
26,29462,10773,128,37.00020365216211,,
27,45970,24462,296,53.85686317163368,,
28,42966,23426,88,54.72699343667085,,
29,70127,32798,824,47.94444365223095,,
