Id,Pixels Agregados,Pixels Ligante,Pixels Brilho,Cobrimento,Estatistica,Legenda
1,7892,3644,0,46.17334009123163,53.85000931927196,Media
2,8241,6132,0,74.40844557699309,13.306680978782978,Desv. Pad.
3,9232,3200,0,34.66204506065858,48.0,Limiar Ligante
4,7296,2731,0,37.43146929824562,159.0,Limiar Brilho do ligante
5,8746,2573,0,29.41916304596387,,
6,9436,3015,0,31.9520983467571,,
7,9242,4044,0,43.75676260549665,,
8,6357,2508,0,39.45257196790939,,
9,12286,3818,0,31.076021487872374,,
10,12319,4063,0,32.9815731796412,,
11,7311,4242,0,58.02215839146491,,
12,8464,4441,0,52.46928166351607,,
13,7551,2888,0,38.24658985564826,,
14,7767,4049,0,52.13080983648771,,
15,9572,4229,0,44.18094442122858,,
16,9636,4458,0,46.2640099626401,,
17,13376,8254,0,61.70753588516747,,
18,8586,5096,0,59.35243419520149,,
19,5951,3351,0,56.309863888422115,,
20,5203,3398,0,65.3084758793004,,
21,5603,3636,0,64.89380688916651,,
22,6381,3540,0,55.477197931358724,,
23,8532,5985,0,70.14767932489451,,
24,5602,2349,0,41.93145305248126,,
25,7048,2463,0,34.9460839954597,,
26,7131,4060,0,56.93451128873931,,
27,8414,2857,19,34.1811266936059,,
28,6704,3934,0,58.68138424821002,,
29,9191,3947,0,42.944184528342944,,
30,9386,5051,0,53.81419134881739,,
31,5733,2894,0,50.479679051107624,,
32,6551,3033,0,46.29827507250801,,
33,5658,4037,0,71.35030045952634,,
34,6336,3466,0,54.70328282828283,,
35,5329,4569,0,85.73841246012385,,
36,11565,5709,0,49.364461738002596,,
37,7020,2333,0,33.23361823361823,,
38,9851,3517,0,35.701959191960206,,
39,7611,5708,31,75.40402049664958,,
40,11279,6332,29,56.39684369181665,,
41,8308,3312,0,39.86519017814155,,
42,6573,4360,0,66.33196409554238,,
43,10763,6709,49,62.789185171420606,,
44,7637,5273,4,69.09781327746498,,
45,5939,4504,0,75.83768311163496,,
46,12107,5255,0,43.40464194267779,,
47,8580,3810,2,44.42890442890443,,
48,7232,5001,0,69.15099557522124,,
49,8628,3311,0,38.37505795085767,,
50,12825,6420,0,50.058479532163744,,
51,5660,2931,3,51.83745583038869,,
52,8682,5188,0,59.75581663211241,,
53,8141,5617,0,68.99643778405601,,
54,7081,3247,0,45.855105211128375,,
55,6705,3959,0,59.04548844146159,,
56,8278,4966,0,59.990335829910606,,
57,7988,3275,0,40.99899849774662,,
58,9989,6980,0,69.87686455100611,,
59,9030,6831,0,75.64784053156146,,
60,11573,4505,46,39.32428929404649,,
61,6710,2992,10,44.73919523099851,,
62,6084,3790,0,62.29454306377383,,
63,7897,3843,0,48.66404963910346,,
64,6704,3999,0,59.650954653937944,,
65,6864,4186,0,60.984848484848484,,
66,6075,2846,0,46.8477366255144,,
67,10259,5985,298,61.24378594404913,,
68,8071,4307,0,53.36389542807583,,
69,8579,6088,0,70.96398181606247,,
70,12247,4871,6,39.821997223809916,,
71,7592,5980,0,78.76712328767124,,
72,5948,2839,0,47.73032952252858,,
73,12536,4807,0,38.34556477345246,,
74,6491,2269,1,34.97149899861346,,
75,6134,4380,57,72.33452885555918,,
76,6104,3658,1,59.94429882044561,,
77,7408,3534,6,47.786177105831534,,
78,7932,3984,18,50.45385779122542,,
79,6831,3509,0,51.368760064412236,,
80,10983,5276,11,48.13803150323227,,
81,9442,5076,9,53.85511544164372,,
82,5428,2419,0,44.56521739130435,,
83,5817,4011,0,68.95306859205776,,
84,5004,2696,0,53.87689848121503,,
85,7842,3917,10,50.076511094108646,,
86,5240,4235,0,80.8206106870229,,
87,7120,4416,0,62.02247191011236,,
88,7970,3660,0,45.922208281053955,,
89,10286,4134,1,40.20027221466071,,
90,6464,3210,0,49.65965346534654,,
91,8925,4435,1,49.703081232493,,
92,6362,3529,0,55.4699779943414,,
93,5294,3487,0,65.86701926709482,,
94,6534,1950,0,29.843893480257115,,
95,5735,2785,0,48.56146469049695,,
96,7643,4540,0,59.400758864320295,,
97,8652,3511,0,40.58021266759131,,
98,6795,4500,0,66.2251655629139,,
99,8637,4700,0,54.41704295472965,,
100,10184,5779,0,56.745875883739195,,
101,12671,6349,8,50.169678794096754,,
102,4593,3305,0,71.95732636620944,,
103,6880,2175,1,31.627906976744185,,
104,7160,2724,11,38.19832402234637,,
105,10318,5974,0,57.89881760031014,,
106,7229,3297,2,45.63563425093374,,
107,7622,5583,26,73.58960902650223,,
108,7545,4349,0,57.64082173624917,,
109,7458,3581,0,48.01555376776616,,
110,6173,4356,4,70.63016361574599,,
111,6948,5482,18,79.15947035118019,,
112,9580,5483,2,57.25469728601253,,
113,6771,3205,0,47.334219465367006,,
114,5972,4642,0,77.72940388479572,,
115,6443,3888,0,60.34455998758342,,
116,9171,5091,1,55.52284374659252,,
117,8169,6859,0,83.96376545476802,,
