Id,Pixels Agregados,Pixels Ligante,Pixels Brilho,Cobrimento,Estatistica,Legenda
1,33,20,12,96.96969696969697,96.70683929177147,Media
2,147,138,0,93.87755102040816,3.666827949771353,Desv. Pad.
3,14407,12747,784,93.91962240577497,64.0,Limiar Ligante
4,13201,11213,900,91.75820013635331,98.0,Limiar Brilho do ligante
5,4,4,0,100.0,,
6,21221,20667,190,98.28471796805051,,
7,38,38,0,100.0,,
8,12,12,0,100.0,,
9,6,6,0,100.0,,
10,18402,15084,2325,94.60384740789044,,
11,15170,14524,209,97.11931443638761,,
12,16374,15014,933,97.39220715768901,,
13,219,219,0,100.0,,
14,26326,24743,432,95.62789637620604,,
15,18525,17249,556,96.11336032388664,,
16,4,4,0,100.0,,
17,5,5,0,100.0,,
18,9,9,0,100.0,,
19,20097,18736,705,96.73583121858984,,
20,4,4,0,100.0,,
21,18892,17611,773,97.3110311242854,,
22,14544,11600,2094,94.15566556655665,,
23,10886,9245,924,93.41355869924674,,
24,18863,16845,1170,95.50442665535705,,
25,14803,13987,478,97.71667905154361,,
26,75,75,0,100.0,,
27,19809,18809,524,97.5970518451209,,
28,26135,24739,749,97.52439257700402,,
29,11,11,0,100.0,,
30,3,3,0,100.0,,
31,12381,10684,888,93.46579436232938,,
32,23,22,0,95.65217391304348,,
33,15162,12255,2003,94.03772589368157,,
34,13,13,0,100.0,,
35,17580,16452,678,97.44027303754267,,
36,14350,13122,650,95.97212543554006,,
37,16919,15043,1110,95.47254565872687,,
38,21096,18444,1808,95.9992415623815,,
39,13597,12556,488,95.9329263808193,,
40,16677,16000,274,97.58349823109673,,
41,4,4,0,100.0,,
42,12840,12373,167,97.66355140186916,,
43,13861,12851,608,97.09977635091263,,
44,18005,16539,871,96.69536239933352,,
45,11,11,0,100.0,,
46,14286,13658,362,98.13803723925521,,
47,16050,14082,1276,95.68847352024922,,
48,12465,11687,408,97.03168872843963,,
49,19973,19216,397,98.19756671506534,,
50,82,53,1,65.85365853658537,,
51,14062,13534,145,97.27634760347034,,
52,16,14,1,93.75,,
53,17284,15691,544,93.93080305484841,,
54,16662,15646,399,96.29696314968191,,
55,21653,20593,573,97.75088902230638,,
56,16471,14414,1014,93.66765830854229,,
57,15,15,0,100.0,,
58,17795,16444,704,96.36414723236864,,
59,13783,12540,774,96.59725749111225,,
60,20394,19246,417,96.41561243502991,,
61,19639,19056,179,97.94286878150619,,
62,8947,7793,367,91.20375544875377,,
63,10801,9246,608,91.23229330617535,,
64,19660,17656,1124,95.52390640895219,,
65,14089,12590,732,94.55603662431685,,
66,14770,14348,161,98.23290453622207,,
67,14583,13171,858,96.2010560241377,,
68,21468,20445,545,97.77343022172536,,
69,25000,22595,1466,96.244,,
70,11127,10606,172,96.86348521614092,,
71,9216,8872,116,97.52604166666667,,
72,11590,10753,195,94.46074201898188,,
73,20639,19366,506,96.28373467706768,,
74,22153,21540,256,98.38848011555997,,
75,17069,16569,205,98.27172066319058,,
76,15480,15141,97,98.43669250645995,,
77,25195,23463,826,96.40404842230602,,
78,12,12,0,100.0,,
79,10235,9741,293,98.0361504640938,,
80,12810,12156,252,96.86182669789227,,
81,13238,12787,165,97.83955280253815,,
82,23229,21870,595,96.71100779198416,,
83,14855,14092,457,97.94008751262201,,
84,18010,16086,1178,95.85785674625208,,
85,15981,14626,821,96.65853200675802,,
86,17242,16430,362,97.39009395661756,,
87,17092,15958,550,96.58319681722443,,
88,14140,13363,315,96.73267326732673,,
89,19433,18789,184,97.63289250244429,,
90,18009,17612,62,98.1398189793992,,
91,13827,13048,458,97.67845519635496,,
92,20143,18398,990,96.25179963262671,,
93,15514,15162,100,98.3756606935671,,
94,26912,24718,1288,96.63347205707491,,
95,19677,18075,676,95.2939980688113,,
96,20926,20404,111,98.0359361559782,,
97,13730,12737,518,96.54042243262928,,
98,19025,18171,356,97.38239159001314,,
99,18464,17808,315,98.15316291161179,,
100,21318,20350,307,96.89933389623792,,
101,22963,22051,418,97.84871314723686,,
102,19455,18624,340,97.47622719095348,,
