Id,Pixels Agregados,Pixels Ligante,Pixels Brilho,Cobrimento,Estatistica,Legenda
1,8404,7066,249,87.04188481675392,84.51523168128519,Media
2,8465,6216,333,77.36562315416421,5.722681494809924,Desv. Pad.
3,12120,9376,784,83.82838283828383,34.0,Limiar Ligante
4,10002,9086,101,91.8516296740652,100.0,Limiar Brilho do ligante
5,17561,12441,309,72.60406582768636,,
6,6920,5645,138,83.5693641618497,,
7,15339,12844,502,87.00697568289979,,
8,13489,10967,233,83.03061754021796,,
9,13515,12768,114,95.31631520532741,,
10,14180,12069,153,86.19181946403386,,
11,6392,4497,350,75.82916145181477,,
12,7009,6084,171,89.24240262519618,,
13,4471,3882,98,89.01811675240438,,
14,10457,9104,238,89.33728602849766,,
15,14749,11286,543,80.20204759644722,,
16,8171,5741,449,75.7557214539224,,
17,12583,9833,748,84.08964475880155,,
18,7131,5091,589,79.65222268966484,,
19,4598,3004,418,74.42366246193997,,
20,8996,7547,142,85.47132058692752,,
21,6289,4522,474,79.44029257433614,,
22,8977,7792,131,88.25888381419182,,
23,10794,9475,193,89.56827867333703,,
24,11367,7276,1336,75.76317410046626,,
25,5751,4213,301,78.49069727003999,,
26,9468,7983,215,86.58639628221377,,
27,15480,12552,928,87.08010335917312,,
28,9874,8482,221,88.14057119708325,,
29,4755,3318,242,74.86855941114617,,
30,11886,10447,266,90.13124684502776,,
31,7667,6085,195,81.90948219642624,,
32,10245,9091,168,90.37579306979015,,
33,4899,4214,137,88.81404368238417,,
34,8734,7152,265,84.92099839706893,,
35,9922,7941,470,84.77121548074985,,
36,11378,9198,674,86.76393039198453,,
37,9194,7828,307,88.48161844681314,,
38,13550,9657,1296,80.8339483394834,,
39,3494,2844,90,83.97252432741843,,
40,12280,8797,1018,79.92671009771988,,
41,5665,5219,73,93.41571050308914,,
42,6588,5230,461,86.38433515482696,,
43,10492,8300,367,82.60579489134578,,
44,7684,5809,226,78.53982300884955,,
45,6206,5888,11,95.05317434740573,,
46,5830,4923,158,87.15265866209262,,
47,10821,9560,190,90.10257831993346,,
48,8359,7224,224,89.10156717310683,,
49,6917,6151,153,91.13777649269915,,
50,8992,7964,135,90.06895017793595,,
51,8903,7045,491,84.64562507020105,,
52,8339,6648,297,83.28336731022904,,
53,6279,5489,117,89.28173275999363,,
54,8120,6789,117,85.04926108374384,,
55,7095,5533,209,80.93023255813954,,
56,8561,5294,1312,77.16388272398085,,
57,9843,6218,966,72.98587828913949,,
58,13519,8586,1523,74.77624084621644,,
59,13179,11663,308,90.83390242051749,,
60,6429,5088,189,82.08119458702753,,
61,7595,5955,444,84.25279789335089,,
62,6410,5210,250,85.17940717628706,,
63,7612,6543,248,89.21439831844457,,
64,8223,6738,307,85.67432810409827,,
65,8351,6016,514,78.19422823613938,,
66,5406,4480,26,83.35183129855716,,
67,8601,7671,48,89.74537844436693,,
68,10589,9186,327,89.83851166304656,,
69,9878,7803,531,84.3693055274347,,
70,8813,7262,374,86.64472937705662,,
71,5484,3901,138,73.6506199854121,,
72,4808,3304,390,76.83028286189683,,
73,5853,4764,255,85.7508969759098,,
74,9100,6942,231,78.82417582417582,,
75,7655,4577,647,68.24297844546048,,
76,7418,6059,229,84.76678349959558,,
77,10906,7868,1105,82.27581147991931,,
78,8443,7223,82,86.52137865687551,,
79,10463,7806,1109,85.20500812386504,,
80,12759,10071,648,84.01128615095227,,
81,8406,6135,360,77.26623840114205,,
82,7310,5416,413,79.74008207934337,,
83,10789,9096,545,89.35953285754009,,
84,8542,7647,152,91.3018028564739,,
85,8247,7688,76,94.14332484539833,,
86,8582,6947,202,83.30226054532743,,
87,7885,5736,226,75.61192136968928,,
88,8061,6777,155,85.99429351197122,,
89,9784,8930,64,91.9255928045789,,
90,9408,8287,133,89.49829931972789,,
91,6417,4859,268,79.8971482000935,,
92,12694,11611,125,92.45312746179297,,
93,7149,5726,225,83.24241152608757,,
94,9970,9097,11,91.35406218655967,,
95,5481,4453,153,84.03575989782887,,
96,6328,5724,60,91.40328697850822,,
97,5768,5077,75,89.32038834951456,,
98,9961,8019,284,83.35508483084028,,
99,10528,7610,749,79.39779635258358,,
100,12798,7556,1592,71.4799187373027,,
101,4348,3754,20,86.79852805887765,,
102,7647,6522,149,87.23682489865307,,
103,10401,9646,49,93.21219113546775,,
104,7478,6480,75,87.65712757421771,,
105,11181,9025,269,83.1231553528307,,
106,7821,6700,97,86.90704513489324,,
107,9782,7243,53,74.58597423839706,,
108,9437,6503,750,76.85705202924659,,
109,8753,7356,72,84.86233291442935,,
110,9138,8306,180,92.86495950973955,,
111,4684,3389,326,79.31255337318531,,
112,7905,5268,766,76.3314358001265,,
113,8298,7275,57,88.3586406362979,,
114,6275,5305,110,86.29482071713147,,
115,8802,8211,77,94.16041808679846,,
116,8185,7158,193,89.81062919975565,,
117,12942,9892,621,81.23164889507031,,
118,8199,6734,310,85.91291620929381,,
119,15629,13547,150,87.63836457866786,,
120,15951,13517,444,87.52429314776504,,
