Id,Pixels Agregados,Pixels Ligante,Pixels Brilho,Cobrimento,Estatistica,Legenda
1,5382,3153,0,58.584169453734674,65.50952000420604,Media
2,5575,4345,0,77.9372197309417,9.333386444124358,Desv. Pad.
3,10455,6274,4,60.04782400765184,45.0,Limiar Ligante
4,13797,9595,93,70.2181633688483,136.0,Limiar Brilho do ligante
5,13840,10163,60,73.86560693641619,,
6,20987,16931,109,81.19311955019774,,
7,6430,5115,15,79.78227060653188,,
8,7109,5090,3,71.64158109438739,,
9,7001,4784,34,68.81874017997428,,
10,6007,4172,26,69.8851340103213,,
11,3873,2907,6,75.21301316808676,,
12,6318,4789,0,75.79930357708136,,
13,6667,4753,26,71.68141592920354,,
14,7262,5231,20,72.30790415863399,,
15,5133,4109,0,80.0506526397818,,
16,7460,5588,8,75.01340482573727,,
17,3701,2355,15,64.03674682518238,,
18,15148,10901,53,72.31317665698442,,
19,12116,9276,102,77.40178276658963,,
20,7050,4831,45,69.16312056737588,,
21,7516,5172,5,68.87972325705162,,
22,4928,3951,39,80.9659090909091,,
23,3665,2400,45,66.71214188267395,,
24,8043,6055,31,75.66828297898795,,
25,6315,3990,20,63.49960411718131,,
26,7565,5476,14,72.57105089226702,,
27,9429,5950,39,63.51680984197688,,
28,5783,3576,14,62.078505965761714,,
29,6313,3054,311,53.302708696340886,,
30,6863,3979,54,58.76438875127495,,
31,6430,3465,46,54.603421461897355,,
32,2125,1403,6,66.30588235294118,,
33,2601,1580,14,61.28412149173395,,
34,4598,2835,9,61.85297955632884,,
35,6447,4940,20,76.93500853109974,,
36,5729,2221,36,39.396055157968235,,
37,8528,5787,46,68.39821763602251,,
38,4480,2615,18,58.77232142857143,,
39,5721,3793,43,67.05121482258346,,
40,5413,4018,81,75.72510622575281,,
41,6253,3851,15,61.826323364784905,,
42,5917,1995,21,34.071319925637994,,
43,5765,4126,14,71.81266261925413,,
44,4485,2611,22,58.70680044593088,,
45,5115,2555,8,50.10752688172043,,
46,5838,3562,47,61.819116135662895,,
47,5959,3504,9,58.95284443698607,,
48,4422,2678,5,60.67390321121665,,
49,10340,6898,129,67.95938104448743,,
50,5042,3295,81,66.95755652518842,,
51,6914,3600,186,54.75846109343361,,
52,5374,3420,30,64.19799032378117,,
53,2988,1419,14,47.95850066934404,,
54,5501,4006,79,74.2592255953463,,
55,7797,4744,91,62.011029883288444,,
56,6266,4222,113,69.18289179699968,,
57,6714,4180,32,62.734584450402146,,
58,5709,3305,28,58.38150289017341,,
59,10215,5931,126,59.29515418502203,,
60,4645,2689,96,59.95694294940797,,
61,8130,6136,22,75.74415744157442,,
62,5001,2930,54,59.66806638672266,,
63,4626,3130,14,67.96368352788586,,
64,10976,5858,192,55.120262390670554,,
65,8150,5532,21,68.13496932515338,,
66,4883,3402,44,70.57137005938972,,
67,6936,4530,179,67.8921568627451,,
68,3707,2551,17,69.27434583220933,,
69,6682,3129,54,47.63543849146962,,
70,16264,8622,10,53.07427447122479,,
71,4653,2714,7,58.47840103159252,,
72,4578,3052,16,67.01616426387069,,
73,4065,3030,9,74.76014760147602,,
